"Round.Number","Date","Location","Home.Team","Away.Team","Result"
1,2019-10-22,"Scotiabank Arena","Toronto Raptors","New Orleans Pelicans","130 - 122"
1,2019-10-22,"Staples Center","LA Clippers","Los Angeles Lakers","112 - 102"
1,2019-10-23,"Spectrum Center","Charlotte Hornets","Chicago Bulls","126 - 125"
1,2019-10-23,"Bankers Life Fieldhouse","Indiana Pacers","Detroit Pistons","110 - 119"
1,2019-10-23,"Amway Center","Orlando Magic","Cleveland Cavaliers","94 - 85"
1,2019-10-23,"Barclays Center","Brooklyn Nets","Minnesota Timberwolves","126 - 127"
1,2019-10-23,"AmericanAirlines Arena","Miami Heat","Memphis Grizzlies","120 - 101"
1,2019-10-23,"Wells Fargo Center","Philadelphia 76ers","Boston Celtics","107 - 93"
1,2019-10-23,"American Airlines Center","Dallas Mavericks","Washington Wizards","108 - 100"
1,2019-10-23,"AT&T Center","San Antonio Spurs","New York Knicks","120 - 111"
1,2019-10-23,"Vivint Smart Home Arena","Utah Jazz","Oklahoma City Thunder","100 - 95"
1,2019-10-23,"Talking Stick Resort Arena","Phoenix Suns","Sacramento Kings","124 - 95"
1,2019-10-23,"Moda Center","Portland Trail Blazers","Denver Nuggets","100 - 108"
1,2019-10-24,"Little Caesars Arena","Detroit Pistons","Atlanta Hawks","100 - 117"
1,2019-10-24,"Toyota Center","Houston Rockets","Milwaukee Bucks","111 - 117"
1,2019-10-24,"Chase Center","Golden State Warriors","LA Clippers","122 - 141"
1,2019-10-25,"TD Garden","Boston Celtics","Toronto Raptors","112 - 106"
1,2019-10-25,"Spectrum Center","Charlotte Hornets","Minnesota Timberwolves","99 - 121"
1,2019-10-25,"Barclays Center","Brooklyn Nets","New York Knicks","113 - 109"
1,2019-10-25,"FedExForum","Memphis Grizzlies","Chicago Bulls","102 - 110"
1,2019-10-25,"Smoothie King Center","New Orleans Pelicans","Dallas Mavericks","116 - 123"
1,2019-10-25,"Chesapeake Energy Arena","Oklahoma City Thunder","Washington Wizards","85 - 97"
1,2019-10-25,"Pepsi Center","Denver Nuggets","Phoenix Suns","108 - 107"
1,2019-10-25,"Golden 1 Center","Sacramento Kings","Portland Trail Blazers","81 - 113"
1,2019-10-25,"Staples Center","Los Angeles Lakers","Utah Jazz","95 - 86"
1,2019-10-26,"Fiserv Forum","Milwaukee Bucks","Miami Heat","126 - 131"
1,2019-10-26,"Little Caesars Arena","Detroit Pistons","Philadelphia 76ers","111 - 117"
1,2019-10-26,"State Farm Arena","Atlanta Hawks","Orlando Magic","103 - 99"
1,2019-10-26,"Madison Square Garden","New York Knicks","Boston Celtics","95 - 118"
1,2019-10-26,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Indiana Pacers","110 - 99"
1,2019-10-26,"United Center","Chicago Bulls","Toronto Raptors","84 - 108"
1,2019-10-26,"Toyota Center","Houston Rockets","New Orleans Pelicans","126 - 123"
1,2019-10-26,"AT&T Center","San Antonio Spurs","Washington Wizards","124 - 122"
1,2019-10-26,"Vivint Smart Home Arena","Utah Jazz","Sacramento Kings","113 - 81"
1,2019-10-26,"Talking Stick Resort Arena","Phoenix Suns","LA Clippers","130 - 122"
1,2019-10-27,"Chesapeake Energy Arena","Oklahoma City Thunder","Golden State Warriors","120 - 92"
1,2019-10-27,"FedExForum","Memphis Grizzlies","Brooklyn Nets","134 - 133"
1,2019-10-27,"American Airlines Center","Dallas Mavericks","Portland Trail Blazers","119 - 121"
1,2019-10-27,"Target Center","Minnesota Timberwolves","Miami Heat","116 - 109"
1,2019-10-27,"Staples Center","Los Angeles Lakers","Charlotte Hornets","120 - 101"
1,2019-10-28,"Little Caesars Arena","Detroit Pistons","Indiana Pacers","96 - 94"
1,2019-10-28,"Madison Square Garden","New York Knicks","Chicago Bulls","105 - 98"
1,2019-10-28,"State Farm Arena","Atlanta Hawks","Philadelphia 76ers","103 - 105"
1,2019-10-28,"Scotiabank Arena","Toronto Raptors","Orlando Magic","104 - 95"
1,2019-10-28,"Toyota Center","Houston Rockets","Oklahoma City Thunder","116 - 112"
1,2019-10-28,"Fiserv Forum","Milwaukee Bucks","Cleveland Cavaliers","129 - 112"
1,2019-10-28,"Smoothie King Center","New Orleans Pelicans","Golden State Warriors","123 - 134"
1,2019-10-28,"AT&T Center","San Antonio Spurs","Portland Trail Blazers","113 - 110"
1,2019-10-28,"Talking Stick Resort Arena","Phoenix Suns","Utah Jazz","95 - 96"
1,2019-10-28,"Golden 1 Center","Sacramento Kings","Denver Nuggets","94 - 101"
1,2019-10-28,"Staples Center","LA Clippers","Charlotte Hornets","111 - 96"
1,2019-10-29,"AmericanAirlines Arena","Miami Heat","Atlanta Hawks","112 - 97"
1,2019-10-29,"Pepsi Center","Denver Nuggets","Dallas Mavericks","106 - 109"
1,2019-10-29,"Staples Center","Los Angeles Lakers","Memphis Grizzlies","120 - 91"
1,2019-10-30,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Chicago Bulls","117 - 111"
1,2019-10-30,"Amway Center","Orlando Magic","New York Knicks","95 - 83"
1,2019-10-30,"Wells Fargo Center","Philadelphia 76ers","Minnesota Timberwolves","117 - 95"
1,2019-10-30,"TD Garden","Boston Celtics","Milwaukee Bucks","116 - 105"
1,2019-10-30,"Barclays Center","Brooklyn Nets","Indiana Pacers","108 - 118"
1,2019-10-30,"Scotiabank Arena","Toronto Raptors","Detroit Pistons","125 - 113"
1,2019-10-30,"Capital One Arena","Washington Wizards","Houston Rockets","158 - 159"
1,2019-10-30,"Chesapeake Energy Arena","Oklahoma City Thunder","Portland Trail Blazers","99 - 102"
1,2019-10-30,"Vivint Smart Home Arena","Utah Jazz","LA Clippers","110 - 96"
1,2019-10-30,"Golden 1 Center","Sacramento Kings","Charlotte Hornets","111 - 118"
1,2019-10-30,"Chase Center","Golden State Warriors","Phoenix Suns","110 - 121"
1,2019-10-31,"State Farm Arena","Atlanta Hawks","Miami Heat","97 - 106"
2,2019-10-31,"Smoothie King Center","New Orleans Pelicans","Denver Nuggets","122 - 107"
2,2019-10-31,"Staples Center","LA Clippers","San Antonio Spurs","103 - 97"
2,2019-11-01,"Barclays Center","Brooklyn Nets","Houston Rockets","123 - 116"
2,2019-11-01,"Bankers Life Fieldhouse","Indiana Pacers","Cleveland Cavaliers","102 - 95"
2,2019-11-01,"Amway Center","Orlando Magic","Milwaukee Bucks","91 - 123"
2,2019-11-01,"TD Garden","Boston Celtics","New York Knicks","104 - 102"
2,2019-11-01,"United Center","Chicago Bulls","Detroit Pistons","112 - 106"
2,2019-11-01,"American Airlines Center","Dallas Mavericks","Los Angeles Lakers","110 - 119"
2,2019-11-01,"Golden 1 Center","Sacramento Kings","Utah Jazz","102 - 101"
2,2019-11-01,"Chase Center","Golden State Warriors","San Antonio Spurs","110 - 127"
2,2019-11-02,"Chesapeake Energy Arena","Oklahoma City Thunder","New Orleans Pelicans","115 - 104"
2,2019-11-02,"Little Caesars Arena","Detroit Pistons","Brooklyn Nets","113 - 109"
2,2019-11-02,"Amway Center","Orlando Magic","Denver Nuggets","87 - 91"
2,2019-11-02,"Capital One Arena","Washington Wizards","Minnesota Timberwolves","109 - 131"
2,2019-11-02,"FedExForum","Memphis Grizzlies","Phoenix Suns","105 - 114"
2,2019-11-02,"Fiserv Forum","Milwaukee Bucks","Toronto Raptors","115 - 105"
2,2019-11-02,"Chase Center","Golden State Warriors","Charlotte Hornets","87 - 93"
2,2019-11-02,"Moda Center","Portland Trail Blazers","Philadelphia 76ers","128 - 129"
2,2019-11-03,"Bankers Life Fieldhouse","Indiana Pacers","Chicago Bulls","108 - 95"
2,2019-11-03,"AmericanAirlines Arena","Miami Heat","Houston Rockets","129 - 100"
2,2019-11-03,"Madison Square Garden","New York Knicks","Sacramento Kings","92 - 113"
2,2019-11-03,"AT&T Center","San Antonio Spurs","Los Angeles Lakers","96 - 103"
2,2019-11-03,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Dallas Mavericks","111 - 131"
2,2019-11-03,"Staples Center","LA Clippers","Utah Jazz","105 - 94"
2,2019-11-04,"Capital One Arena","Washington Wizards","Detroit Pistons",""
2,2019-11-04,"Barclays Center","Brooklyn Nets","New Orleans Pelicans",""
2,2019-11-04,"FedExForum","Memphis Grizzlies","Houston Rockets",""
2,2019-11-04,"Target Center","Minnesota Timberwolves","Milwaukee Bucks",""
2,2019-11-04,"Talking Stick Resort Arena","Phoenix Suns","Philadelphia 76ers",""
2,2019-11-04,"Chase Center","Golden State Warriors","Portland Trail Blazers",""
2,2019-11-05,"Spectrum Center","Charlotte Hornets","Indiana Pacers",""
2,2019-11-05,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Boston Celtics",""
2,2019-11-05,"State Farm Arena","Atlanta Hawks","San Antonio Spurs",""
2,2019-11-05,"United Center","Chicago Bulls","Los Angeles Lakers",""
2,2019-11-05,"Chesapeake Energy Arena","Oklahoma City Thunder","Orlando Magic",""
2,2019-11-05,"Pepsi Center","Denver Nuggets","Miami Heat",""
2,2019-11-06,"Little Caesars Arena","Detroit Pistons","New York Knicks",""
2,2019-11-06,"Bankers Life Fieldhouse","Indiana Pacers","Washington Wizards",""
2,2019-11-06,"State Farm Arena","Atlanta Hawks","Chicago Bulls",""
2,2019-11-06,"Scotiabank Arena","Toronto Raptors","Sacramento Kings",""
2,2019-11-06,"Toyota Center","Houston Rockets","Golden State Warriors",""
2,2019-11-06,"FedExForum","Memphis Grizzlies","Minnesota Timberwolves",""
2,2019-11-06,"American Airlines Center","Dallas Mavericks","Orlando Magic",""
2,2019-11-06,"Vivint Smart Home Arena","Utah Jazz","Philadelphia 76ers",""
2,2019-11-06,"Staples Center","LA Clippers","Milwaukee Bucks",""
3,2019-11-07,"Spectrum Center","Charlotte Hornets","Boston Celtics",""
3,2019-11-07,"AT&T Center","San Antonio Spurs","Oklahoma City Thunder",""
3,2019-11-07,"Talking Stick Resort Arena","Phoenix Suns","Miami Heat",""
3,2019-11-07,"Staples Center","LA Clippers","Portland Trail Blazers",""
3,2019-11-08,"Bankers Life Fieldhouse","Indiana Pacers","Detroit Pistons",""
3,2019-11-08,"Amway Center","Orlando Magic","Memphis Grizzlies",""
3,2019-11-08,"Capital One Arena","Washington Wizards","Cleveland Cavaliers",""
3,2019-11-08,"State Farm Arena","Atlanta Hawks","Sacramento Kings",""
3,2019-11-08,"Target Center","Minnesota Timberwolves","Golden State Warriors",""
3,2019-11-08,"Smoothie King Center","New Orleans Pelicans","Toronto Raptors",""
3,2019-11-08,"American Airlines Center","Dallas Mavericks","New York Knicks",""
3,2019-11-08,"Pepsi Center","Denver Nuggets","Philadelphia 76ers",""
3,2019-11-08,"Vivint Smart Home Arena","Utah Jazz","Milwaukee Bucks",""
3,2019-11-08,"Moda Center","Portland Trail Blazers","Brooklyn Nets",""
3,2019-11-08,"Staples Center","Los Angeles Lakers","Miami Heat",""
3,2019-11-09,"AT&T Center","San Antonio Spurs","Boston Celtics",""
3,2019-11-09,"Spectrum Center","Charlotte Hornets","New Orleans Pelicans",""
3,2019-11-09,"United Center","Chicago Bulls","Houston Rockets",""
3,2019-11-09,"FedExForum","Memphis Grizzlies","Dallas Mavericks",""
3,2019-11-09,"Chesapeake Energy Arena","Oklahoma City Thunder","Golden State Warriors",""
3,2019-11-10,"Target Center","Minnesota Timberwolves","Denver Nuggets",""
3,2019-11-10,"Amway Center","Orlando Magic","Indiana Pacers",""
3,2019-11-10,"Wells Fargo Center","Philadelphia 76ers","Charlotte Hornets",""
3,2019-11-10,"Chesapeake Energy Arena","Oklahoma City Thunder","Milwaukee Bucks",""
3,2019-11-10,"Madison Square Garden","New York Knicks","Cleveland Cavaliers",""
3,2019-11-10,"Talking Stick Resort Arena","Phoenix Suns","Brooklyn Nets",""
3,2019-11-10,"Moda Center","Portland Trail Blazers","Atlanta Hawks",""
3,2019-11-10,"Staples Center","Los Angeles Lakers","Toronto Raptors",""
3,2019-11-11,"Little Caesars Arena","Detroit Pistons","Minnesota Timberwolves",""
3,2019-11-11,"TD Garden","Boston Celtics","Dallas Mavericks",""
3,2019-11-11,"AT&T Center","San Antonio Spurs","Memphis Grizzlies",""
3,2019-11-11,"Smoothie King Center","New Orleans Pelicans","Houston Rockets",""
3,2019-11-11,"Chase Center","Golden State Warriors","Utah Jazz",""
3,2019-11-11,"Staples Center","LA Clippers","Toronto Raptors",""
3,2019-11-12,"Bankers Life Fieldhouse","Indiana Pacers","Oklahoma City Thunder",""
3,2019-11-12,"Wells Fargo Center","Philadelphia 76ers","Cleveland Cavaliers",""
3,2019-11-12,"AmericanAirlines Arena","Miami Heat","Detroit Pistons",""
3,2019-11-12,"United Center","Chicago Bulls","New York Knicks",""
3,2019-11-12,"Pepsi Center","Denver Nuggets","Atlanta Hawks",""
3,2019-11-12,"Talking Stick Resort Arena","Phoenix Suns","Los Angeles Lakers",""
3,2019-11-12,"Vivint Smart Home Arena","Utah Jazz","Brooklyn Nets",""
3,2019-11-12,"Golden 1 Center","Sacramento Kings","Portland Trail Blazers",""
3,2019-11-13,"Spectrum Center","Charlotte Hornets","Memphis Grizzlies",""
3,2019-11-13,"Amway Center","Orlando Magic","Philadelphia 76ers",""
3,2019-11-13,"TD Garden","Boston Celtics","Washington Wizards",""
3,2019-11-13,"Toyota Center","Houston Rockets","LA Clippers",""
