"id","name","team","abbrev"
"4246","Mike Conley","Utah Jazz","Uta"
"5500","Josh Richardson","Philadelphia 76ers","Phi"
"4724","Gordon Hayward","Boston Celtics","Bos"
"4136","Rudy Gay","San Antonio Spurs","SA"
"5015","Andre Drummond","Detroit Pistons","Det"
"4163","P.J. Tucker","Houston Rockets","Hou"
"6047","Mitchell Robinson","New York Knicks","NY"
"4897","Nikola Vucevic","Orlando Magic","Orl"
"5497","Richaun Holmes","Sacramento Kings","Sac"
"5480","Delon Wright","Dallas Mavericks","Dal"
"4563","James Harden","Houston Rockets","Hou"
"4245","Al Horford","Philadelphia 76ers","Phi"
"5727","Fred VanVleet","Toronto Raptors","Tor"
"5327","Jusuf Nurkic","Portland Trail Blazers","Por"
"4892","Klay Thompson","Golden State Warriors","GS"
